0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:10:16 +0800] "GET /SA_Project/statics/js/bootstrap.min.js.map HTTP/1.1" 200 220350
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:10:16 +0800] "GET /SA_Project/statics/css/bootstrap.min.css.map HTTP/1.1" 200 589161
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:10:21 +0800] "GET /SA_Project/api/post.do?search=algorithm&_=1703664241312 HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:10:21 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:12:51 +0800] "GET /SA_Project/api/post.do?search=algorithm&_=1703664241313 HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:12:51 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:14:57 +0800] "GET /SA_Project/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:14:58 +0800] "GET /SA_Project/api/post.do?_=1703664898084 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:14:58 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:14:58 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:03 +0800] "GET /SA_Project/api/post.do?search=note&_=1703664898085 HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:03 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:20 +0800] "GET /SA_Project/api/post.do?search=note&_=1703664898086 HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:20 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
194.36.177.87 - - [27/Dec/2023:16:27:06 +0800] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:07 +0800] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:08 +0800] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:10 +0800] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:11 +0800] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:12 +0800] "CONNECT 45.61.136.175:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:13 +0800] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:13 +0800] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:14 +0800] "CONNECT 45.61.136.175:7227 HTTP/1.1" 501 724
194.36.177.87 - - [27/Dec/2023:16:27:15 +0800] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
46.174.191.28 - - [27/Dec/2023:19:00:10 +0800] "GET / HTTP/1.0" 404 751
104.167.221.82 - - [27/Dec/2023:19:16:58 +0800] "CONNECT www.google.com:443 HTTP/1.1" 501 724
104.167.221.82 - - [27/Dec/2023:19:44:50 +0800] "CONNECT www.google.com:443 HTTP/1.1" 501 724
